Name,Alias,Description,Status,DN,UID,Annotation,Child Action,Externally Managed By,Local Owner,Monitoring Policy DN,User Domain,Bridge Domain Enforced Enable,IP Data Plane Learning,Known Multicast Action,Owner Key,Owner Tag,PC Enforce Directory,PC Enforce Directory Updated,PC Enforce Preference,PC Tag,Scope,Seg,VRF ID,VRF Index,Modified Timestamp
oob,,,,uni/tn-mgmt/ctx-oob,0,,,,local,uni/tn-common/monepg-default,all,no,enabled,permit,,,ingress,yes,enforced,32770,2293760,2293760,0,0,2022-11-17T15:49:26.923+00:00
copy,,,,uni/tn-common/ctx-copy,0,,,,local,uni/tn-common/monepg-default,all,no,enabled,permit,,,ingress,yes,enforced,32770,2359296,2359296,0,0,2022-11-17T15:49:27.269+00:00
default,,,,uni/tn-common/ctx-default,0,,,,local,uni/tn-common/monepg-default,all,no,enabled,permit,,,ingress,yes,enforced,32770,2195456,2195456,0,0,2022-11-17T15:49:27.269+00:00
ave-ctrl,,,,uni/tn-infra/ctx-ave-ctrl,0,,,,local,uni/tn-common/monepg-default,all,no,enabled,permit,,,ingress,yes,enforced,32770,2293761,2293761,0,0,2022-11-17T15:49:27.218+00:00
inb,,,,uni/tn-mgmt/ctx-inb,0,,,,local,uni/tn-common/monepg-default,all,no,enabled,permit,,,ingress,yes,enforced,16386,3047424,3047424,0,0,2022-11-17T15:49:26.923+00:00
overlay-1,,,,uni/tn-infra/ctx-overlay-1,0,,,,local,uni/tn-common/monepg-default,all,no,enabled,permit,,,ingress,yes,enforced,49153,16777199,16777199,0,0,2022-11-17T15:49:26.901+00:00
PROXY_VRF,,,,uni/tn-ab/ctx-PROXY_VRF,15374,,,,local,uni/tn-common/monepg-default,:all:,no,enabled,permit,,,ingress,yes,enforced,16386,3047425,3047425,0,0,2022-11-17T15:54:03.073+00:00
s2tbkfarms,,,,uni/tn-S2TBK_HOLDINGS-TN/ctx-s2tbkfarms,15374,,,,local,uni/tn-common/monepg-default,:all:,no,enabled,permit,,,ingress,yes,enforced,49153,2654208,2654208,0,0,2022-11-17T15:54:55.152+00:00
GKTEST_VRF,,,,uni/tn-TEST_GK/ctx-GKTEST_VRF,15374,,,,local,uni/tn-common/monepg-default,:all:,no,enabled,permit,,,ingress,yes,enforced,32770,2555904,2555904,0,0,2022-11-17T16:03:23.069+00:00
vrf_b_1,,VRF blue one,,uni/tn-blue/ctx-vrf_b_1,15374,,,,local,uni/tn-common/monepg-default,:all:,no,enabled,permit,,,ingress,yes,enforced,16386,2129920,2129920,0,0,2022-11-17T16:54:19.858+00:00
vrf_g_1,,VRF green one,,uni/tn-green/ctx-vrf_g_1,15374,,,,local,uni/tn-common/monepg-default,:all:,no,enabled,permit,,,ingress,yes,enforced,16386,2916352,2916352,0,0,2022-11-17T16:54:22.865+00:00
Heroes_Only,,,,uni/tn-Heroes/ctx-Heroes_Only,15374,,,,local,uni/tn-common/monepg-default,:all:,no,enabled,permit,,,ingress,yes,enforced,32770,2949120,2949120,0,0,2022-11-17T18:22:49.779+00:00
Superverse,,,,uni/tn-SnV/ctx-Superverse,15374,,,,local,uni/tn-common/monepg-default,:all:,no,enabled,permit,,,ingress,yes,enforced,49153,2850816,2850816,0,0,2022-11-17T18:22:50.147+00:00