PVa-AHN-LHA Otp Glut,#97aa66
CUN-PPN Evx2 Meis2 Glut,#96b83a
MV-SPIV Phox2b Ebf3 Lbx1 Glut,#70602d
PH Pitx2 Glut,#94b53b
PH-ant Otp Glut,#415c2d
SPVI-SPVC Mafa Glut,#9bb43a
IC Tfap2d Maf Glut,#675529
PB Lmx1a Glut,#53672d
SPA-SPFp-PIL-PoT-SPFm-PVT Glut,#a7aa6f
PB-NTS Phox2b Ebf3 Lmx1b Glut,#99ba3f
IPN-IF-RL Foxa1 Glut,#3b5224
PCG Vsx2 Lhx4 Glut,#a3b178
PB Pax5 Glut,#96b837
CUN-PPN Evx2 Lhx2 Glut,#4e7528
PAG Dmrta2 Glut,#6ec13f
SCig-ve Pitx2 Glut,#4d7d34
PB-an-do Evx2 Glut,#977e2e
PGRNd Otp Glut,#70c137
PRC-NPC Pax6 Glut,#3b4c21
PCG-SLD Vsx2 Nkx6-1 Glut,#468834
SPVI-SPVC Tlx3 Ebf3 Glut,#70c33e
PH-LHA Foxb1 Glut,#55822f
CU-ECU-SPVI Foxb1 Glut,#98ad6c
PGRN-PARN-MDRN Hoxb5 Glut,#4bbf43
IPN Vsx2 Nkx6-1 Pax5 Glut,#499948
MB/HB Lhx1 Glut,#5fbe36
NTS Dbh Glut,#bbb33b
NTS Phox2b Glut,#548c36
LHA-MEA Otp Glut,#5a7e2b
MPO-MPN Glut,#50c640
DMH-LHA Vgll2 Glut,#4f9a44
AHN Otp Glut,#435f2e
DMH Hmx2 Glut,#4f7b2a
PVH-PVHd-SO Otp Glut,#6cb775
VMH Nr5a1 Glut,#59b99b
PM-LHA Foxb1 Glut,#2e512b
ARH Tbx3 Glut,#a7ad73
AVPV-MEPO Tbr1 Glut,#52c273
DMH Nkx2-4 Glut,#6ebd36
MS Bsx Glut,#35552f
RPO-NI-SLD Vsx2 Nr4a2 Glut,#438166
SCdg Pou4f1 Ebf2 Glut,#53c739
APN C1ql4 Glut,#2d4821
SCdg Pou4f1 Glut,#336446
SCdg Pou4f3 Glut,#337982
PAG-PRT Tcf7l2 Glut,#59bd6f
SCig Foxb1 Glut,#6ebd36
SCdg-ve Tfap2b Glut,#2c553a
SCdg Tfap2b Glut,#5aba6c
SCdg-ve Pou4f1 Glut,#60c17a
SCdg Pou4f2 Mesi2 Glut,#5bc19c
SCdg Pou4f2 Glut,#27411f
PAG-MRN Pou3f1 Glut,#50c136
APN C1ql2 Glut,#58b3a5
CBN Glut,#59b2d3
PH-SUM Foxa1 Glut,#5bad90
MV Glut,#528033
PAG Neurod2 Meis2 Glut,#59b096
PRNr Otp Nfib Glut,#407a5d
PH-an Pitx2 Glut,#63ab8b
LDT Vsx2 Nkx6-1 Nfib Glut,#55abc1
PVH-LHA Barhl2 Glut,#4fb55a
ADP-MPO Trp73 Glut,#4ebb68
SI-MA-LPO Skor1 Glut,#66a7d5
STN-PSTN Pitx2 Glut,#546b9a
MM-ant Foxb1 Glut,#52b7c8
PM Pitx2 Glut,#325634
PAG Ucn Glut,#59acca
CA1-ProS Glut,#5ebaa3
CA3 Glut,#50adc0
SUB-ProS Glut,#7291c8
COAp-TR-ENTmv Glut,#4b8d6d
L5 ET CTX Glut,#428164
IT AON-TT-DP Glut,#546895
CB Granule Glut,#5a83dc
CA2 Glut,#3d768e
L6b CTX Glut,#5dbd72
L6 CT CTX Glut,#486a94
L6b/CT ENT Glut,#5baec8
L6b EPd Glut,#648ec4
L2/3 IT CTX Glut,#444a77
L4/5 IT CTX Glut,#56c397
PG-TRN-LRN Fat2 Glut,#63bf9f
L2/3 IT RSP Glut,#5d73d7
L2 IT PPP-APr Glut,#a0a1d9
Car3 Glut,#789cd8
L2/3 IT ENTl-PIR Glut,#56afa3
L5 NP CTX Glut,#9696d6
NP SUB Glut,#5c88bf
CT SUB Glut,#374773
L5 IT CTX Glut,#6779d6
L4 RSP-ACA Glut,#5ab9c7
MEA-COA-BMA Ccdc42 Glut,#53a9c1
MEA Slc17a7 Glut,#443773
COAa-PAA Barhl2 Glut,#363b71
MEA Otp Glut,#3a4881
LA-BLA-BMA-PA Glut,#6194c4
MEA-BST Otp Glut,#6a71dd
MOB Eomes Ms4a15 Glut,#6374db
HPF CR Glut,#6a75d9
SCsg Pde5a Glut,#8165e0
PSV Glut,#4a84a7
VCO-PSV-SOCl Mafa Meis2 Glut,#7b95d1
SPVO Mafa Meis2 Glut,#703dd6
L6 IT CTX Glut,#534eaa
L5/6 IT TPE-ENT Glut,#7b75d9
IT EP-CLA Glut,#414778
L2/3 IT PPP Glut,#4d4a95
SCig Tfap2b Chrnb3 Glut,#4a456a
SCop Pou4f2 Neurod2 Glut,#463289
VMH Fezf1 Glut,#4f3783
MH Tac2 Glut,#6580d2
LH Pou4f1 Sox1 Glut,#4b4b78
TRS Sln Glut,#4f2a96
BST-po Glut,#8c6be4
L2/3 IT ENT Glut,#523cc4
COAp Grxcr2 Glut,#6770d6
L2 IT ENT-po Glut,#7f47df
MA3 Foxd2 Glut,#4c4185
AD Serpinb7 Glut,#613dc7
SCop Sln Glut,#51279d
IO Glut,#40386a
LHA Pmch Glut,#6069cf
TH Prkcd Grin2c Glut,#a060db
PVT-PT-RE Ntrk1 Glut,#5b38cb
CM-IAD-CL-PCN Glut,#652e88
POL-PIL-PoT-SGN Glut,#6a3dcc
RE-Xi-PR Nox4 Glut,#562aa2
AV Col27a1 Glut,#7944d9
PF Fzd5 Glut,#be96cb
DG Glut,#753bd8
RN-MRN En1 Sox2 Gaba,#6e60d7
RR-SNr-PAG Foxa2 Gaba,#5433b4
RN Nkx2-2 Otx1 Gaba,#b882d1
PCG-LDT-DTN-RPO-CS Tox Gaba,#572490
ZI Pax6 Gaba,#b34ade
PCG-CUN-MRN Pax5 Cdh23 Gaba,#542d87
PRT Tcf7l2 Gaba,#533762
PAG Nkx2-2 Nr2f2 Gaba,#592d99
PCG-LDT-DTN-RPO-CS Meis2 Gaba,#b746df
LDT-PCG Gata3 Irx5 Gaba,#c987d6
ND-PCG Gata3 Lhx1 Gaba,#7f38ce
PPN-PCG Otp En1 Gaba,#b148de
PVpo-VMPO-MPN Hmx2 Gaba,#d84bd3
MEA-BST Lhx6 Zfhx3 Gaba,#bb46e0
LHA-SBPV-AHN Gaba,#976ea3
TU-ARH Otp Six6 Gaba,#c49cd4
DMH Prdm13 Gaba,#c972d0
MPO-LPO Lhx8 Gaba,#b292c6
PVH-PVi Six3 Prox1 Gaba,#724c7a
PVHd Gsc Gaba,#cc4ad8
SCH Gaba,#bb9dd0
ARH Tbx3 Gaba,#be77cd
SI-MPO-LPO Lhx8 Gaba,#93358d
AHN Onecut3 Gaba,#ca81cf
BST Tac2 Gaba,#d250bb
PVHd-DMH Lhx6 Gaba,#c872d3
PVR Six3 Gaba,#802e81
MEA-BST Avp Gaba,#be75d6
PVa-ARH Six3 Gaba,#c979db
ARH-DMH-LHA Gsx1 Gaba,#993e96
DMH Hmx2 Gaba,#836291
CEA-BST Crh Gaba,#753072
CLI-PDTg Pax6 Gaba,#c498bc
CLI-IF-IPN-DTN-PCG Otp Pax3 Gaba,#5a295a
PPN-SNr Pax5 Sox21 Gaba,#da98c5
LGv-SPFp-SPFm Gata3 Gaba,#c343d4
IC Six3 En2 Gaba,#cf43cd
SCm Cdh23 Gaba,#cc43c9
SC Lef1 Emx2 Gaba,#873284
SCs Pax7 Nfia Gaba,#c489ac
MPT-NOT-PPT Mecom Gaba,#6a2d85
LGv Otx2 Gaba,#d243b5
Lamp5 Gaba,#753259
Vip Gaba,#925a86
Sncg Gaba,#612d4f
RHP-COA Ndnf Gaba,#9d6593
Lamp5 Lhx6 Gaba,#ce89ad
MSN D2 Gaba,#802e73
AAA-BST Six3 Meis2 Gaba,#d63db6
CEA-AAA-BST Six3 Cyp26b1 Gaba,#de43ac
CB MLI Cdh22 Gaba,#d344c3
CB MLI Megf11 Gaba,#cb8bb2
LSX Nkx2-1 Gaba,#da3e99
LSX Otx2 Gaba,#973283
LSX Prdm12 ve Gaba,#97326c
LSX Prdm12 do Gaba,#852b6f
LSX Sall3 Pax6 Gaba,#d84692
NDB-SI-ant Prdm12 Gaba,#d174a5
LSX Sall3 Lmo1 Gaba,#d34c8e
NDB-SI-MA-STRv Lhx8 Gaba,#773159
CB Purkinje Gaba,#cd6eba
STR-PAL Chst9 Gaba,#dd4784
MSN D1 Sema5a Gaba,#cd6f9d
MEA-BST Lhx6 Nr2e1 Gaba,#db47ba
MEA-BST Lhx6 Nfib Gaba,#e24d8b
MEA-BST Sox6 Gaba,#d83ca7
MEA-BST Lhx6 Sp9 Gaba,#92375c
FS Mgp Gaba,#d63e8e
GPe Sox6 Cyp26b1 Gaba,#7d2d4a
SCsg Gabrr2 Gaba,#d64c80
SCs Dmbx1 Gaba,#81314e
SC Tnnt1 Gli3 Gaba,#ad3752
SC Otx2 Gcnt4 Gaba,#d7426b
SC Lef1 Otx2 Gaba,#d2889b
RT Gnb3 Gaba,#d04156
MOB-in Frmd7 Gaba,#e4538a
MOB-out Frmd7 Gaba,#d9435d
MOB Trdn Gaba,#7b2f4a
SNr Six3 Gaba,#cf8497
SNr-VTA-PPN Pax5 Npas1 Gaba,#982b34
SCs Lef1 Gli3 Gaba,#d74475
IPN Otp Crisp1 Gaba,#b77775
Pvalb Gaba,#992f30
Sst Gaba,#d84676
Sst Chodl Gaba,#ba6b6c
Pvalb chandelier Gaba,#672f3c
STR Prox1 Lhx6 Gaba,#6f2d2d
STRv Lhx8 Gaba,#d9445e
MSN D1 Gaba,#d73e5c
ACB-BST-FS D1 Gaba,#d07b74
SI-MA-NDB Six3 Meis2 Gaba,#d48c83
SI-MA-NDB Ebf1 Bnc2 Gaba,#6a2c2c
CEA-AAA-BST Ebf1 Gaba,#d58579
OT D3 Folh1 Gaba,#742d3a
MB-MY Glut-Sero,#792e26
MV-SPIV-PRP Dmbx1 Gly-Gaba,#a93b57
MV-NTS Bcl11b Neurod2 Gly-Gaba,#d48b7b
MY Lhx1 Gly-Gaba,#c98084
POR Gata3 Gly-Gaba,#dc7765
PRP-MY Otp Gly-Gaba,#df3e40
PARN Gbx2 Gly-Gaba,#dd3e38
MV Nkx6-1 Gly-Gaba,#e57a70
MY Prox1 Gly-Gaba,#6c352c
GRN Prox1 Brs3 Gly-Gaba,#9a3c2c
PAS-MV Ebf2 Gly-Gaba,#d54628
MV Pax6 Gly-Gaba,#d4878e
Golgi Gly-Gaba,#e14e2c
DCO Il22 Gly-Gaba,#9f3c2a
SPVI-SPVC Sall3 Gly-Gaba,#8e3223
NLL Gata3 Gly-Gaba,#6a382a
SNc-VTA-RAmb Foxa1 Dopa,#963829
MOB Dopa-Gaba,#e44531
DMX Tbx20 Chol,#e04633
PAL-STR Gaba-Chol,#dd4e34
PM-TM-PVp Tbx3 Hist-Gaba,#da9b7b
GPi Skor1 Gaba-Glut,#de424e
MOB-STR-CTX Inh IMN,#a74529
DG-PIR Ex IMN,#de492a
Astro-TE NN,#df462a
Astro-NT NN,#e26b2c
Astro-Epen NN,#dc602b
Bergmann NN,#ab3926
CHOR NN,#a55b29
Microglia NN,#d1946e
VLMC NN,#e18538
ABC NN,#84251f
Peri NN,#684622
Endo NN,#693724
OPC NN,#71482a
Oligo NN,#a35626
NP PPP Glut,#6c4229
NLOT Rho Glut,#995927
L5 PPP Glut,#e3893b
MOB Meis2 Gaba,#d58b30
MOB-mi Frmd7 Gaba,#9d682c
HY Gnrh1 Glut,#dc5329
PVa-ARH Six3 Dopa-Gaba,#de933e
ARH Foxd2 Gaba,#db956e
MRN-PAG Nkx6-1 Glut,#d17d31
CBN Dmbx1 Gaba,#d19e6e
IRN Vip Glut,#d3883b
MM Foxb1 Glut,#e08635
PCG-LDT-DTN-RPO-CS Pax8 Gaba,#b5a06a
HB Otp Shroom3 Gaba,#78542a
PCG-LDT-DTN-RPO-CS St18 Gaba,#c3a538
PDTg Otp Olig3 Gaba,#9b522e
MARN-PPY Ngfr Gly-Gaba,#9c743a
MY Pkd2l1 Gaba,#d7852d
IRN-PGRN-MARN Pax6 Hoxb5 Gly-Gaba,#d6946d
PAG-MRN Rln3 Gaba,#c7a173
LDT Fgf7 Gaba,#c8a836
ECU-CU Slc6a2 Glut,#897332
POR Spp1 Gly-Gaba,#cda272
PCG-po Gata3 Slc6a5 Gly-Gaba,#c1a237
NTS Crp Glut,#ada23a
MDRN Bves Glut,#675829
MY Calcb Chol,#d6946d
CB PLI Gly-Gaba,#b6ab37
SPVC Nmu Glut,#8e6931
SPVC Ccdc172 Glut,#c7a73b
IRN Dmbx1 Pax2 Gly-Gaba,#806d2a
PB-CUN Ppp1r1c Glut,#caac41
V3 Tph1 Glut,#c1a237
DCO UBC Glut,#665829
Astro-OLF NN,#8fab6e
Astro-CB NN,#a7a96d
Ependymal NN,#db9133
Hypendymal NN,#a5af71
Tanycyte NN,#c0ae3a
Aqp1 OEG NN,#7e7f39
SMC NN,#d63e8e
BAM NN,#b6ab37
Lymphoid NN,#d19e6e
Monocytes NN,#d54628
DC NN,#806d2a